cve_mun,municipio,estado,cuadrante,score,delta_homicidio_pct,delta_control_pct,km_a_via_ferrea,km_a_frontera_norte
30105,"Medellín de Bravo","Veracruz",Q3,187.9,114.7,302.6,5.7,778.7
30108,"Minatitlán","Veracruz",Q2,337.9,-68.5,269.3,30.1,958.9
30109,"Misantla","Veracruz",Q2,134.9,-65,69.9,38.5,660.9
30118,"Orizaba","Veracruz",Q2,120.7,-34,86.7,2.3,781.7
30123,"Pánuco","Veracruz",Q2,308.6,-95.3,213.3,18,426.1
30124,"Papantla","Veracruz",Q2,216.7,-38,178.7,67.5,608.4
30128,"Perote","Veracruz",Q3,1215.8,36.6,1252.4,3.8,706.3
30131,"Poza Rica de Hidalgo","Veracruz",Q2,88.6,-30.4,58.2,80.5,594.8
30141,"San Andrés Tuxtla","Veracruz",Q2,189.6,-28.7,160.9,2.1,854.2
30143,"Santiago Tuxtla","Veracruz",Q2,66.6,-54.8,11.8,9.8,857.5
30155,"Tantoyuca","Veracruz",Q3,232.6,132.6,365.2,27.7,504.2
30160,"Álamo Temapache","Veracruz",Q3,209.1,7.7,216.8,71.6,546.2
30174,"Tierra Blanca","Veracruz",Q2,323,-90.9,232.1,4.3,824.5
30175,"Tihuatlán","Veracruz",Q2,247.5,-89.7,157.8,84.9,580.3
30183,"Tlapacoyan","Veracruz",Q3,-402.8,542.7,139.9,31.3,651.9
30189,"Tuxpan","Veracruz",Q3,103.5,130.7,234.3,91.5,549.9
30193,"Veracruz","Veracruz",Q2,195,-74,121,2.6,755.9
31050,"Mérida","Yucatán",Q1,-12.1,-28.7,-40.8,0.9,950
32010,"Fresnillo","Zacatecas",Q1,33,-79.7,-46.6,20.7,464.9
32017,"Guadalupe","Zacatecas",Q2,114.7,-88.7,26,12.7,533
32024,"Loreto","Zacatecas",Q1,-11.4,-59.3,-70.7,7.2,549.7
32038,"Pinos","Zacatecas",Q2,247.7,-23.2,224.5,31.2,528.1
32039,"Río Grande","Zacatecas",Q1,17.8,-100,-82.2,3.5,427.8
32042,"Sombrerete","Zacatecas",Q1,-41.6,-51.1,-92.8,1.1,386.7
32056,"Zacatecas","Zacatecas",Q2,108.7,-87.4,21.4,7.1,525.5
