cve_mun,municipio,estado,poblacion,tasa_hom_2019s1,tasa_hom_2026s1,delta_homicidio_pct,tasa_control_2019s1,tasa_control_2026s1,delta_control_pct,cuadrante,score
15118,Zinacantepec,México,218530,4.39,1.37,-68.7,14.15,9.15,-35.3,Q1,33.4
15120,Zumpango,México,319152,20.79,5.33,-74.4,29.33,23.5,-19.9,Q1,54.5
15121,Cuautitlán Izcalli,México,575506,7.13,5.91,-17.2,28.89,29.37,1.7,Q2,18.8
15122,Valle de Chalco Solidaridad,México,382565,9.28,3.92,-57.7,32.34,24.83,-23.2,Q1,34.5
16006,Apatzingán,Michoacán,127957,35.8,30.48,-14.9,17.9,41.42,131.4,Q2,146.3
16034,Hidalgo,Michoacán,132050,14.14,2.27,-83.9,10.22,9.84,-3.6,Q1,80.3
16043,Jacona,Michoacán,69921,41.42,40.05,-3.3,137.12,160.18,16.8,Q2,20.1
16052,Lázaro Cárdenas,Michoacán,217244,12.17,2.3,-81.1,28.91,7.36,-74.5,Q1,6.6
16053,Morelia,Michoacán,918637,13.96,6.2,-55.5,18.65,40.71,118.3,Q2,173.9
16066,Pátzcuaro,Michoacán,106234,12.1,8.47,-30.0,16.13,35.77,121.7,Q2,151.7
16069,La Piedad,Michoacán,112811,10.21,2.66,-73.9,23.2,7.98,-65.6,Q1,8.3
16076,Sahuayo,Michoacán,83110,41.54,1.2,-97.1,67.97,12.03,-82.3,Q1,14.8
16088,Tarímbaro,Michoacán,128967,15.66,7.75,-50.5,18.27,26.36,44.3,Q2,94.8
16102,Uruapan,Michoacán,389723,30.07,20.78,-30.9,56.25,61.33,9.0,Q2,39.9
16108,Zamora,Michoacán,220842,29.49,22.64,-23.2,160.52,93.28,-41.9,Q1,-18.7
16112,Zitácuaro,Michoacán,154483,11.21,0.0,-100.0,36.13,16.18,-55.2,Q1,44.8
17004,Ayala,Morelos,94259,26.48,36.07,36.2,27.58,30.77,11.6,Q3,-24.7
17006,Cuautla,Morelos,193868,18.83,23.73,26.0,63.8,172.28,170.0,Q3,144.0
17007,Cuernavaca,Morelos,392952,24.03,16.8,-30.1,38.92,53.19,36.6,Q2,66.8
17008,Emiliano Zapata,Morelos,115981,39.95,39.66,-0.7,13.01,46.56,257.9,Q2,258.7
17011,Jiutepec,Morelos,222503,20.58,20.22,-1.7,10.97,29.21,166.2,Q2,167.9
17012,Jojutla,Morelos,58449,39.29,15.4,-60.8,157.16,176.22,12.1,Q2,72.9
17018,Temixco,Morelos,127681,38.11,38.38,0.7,9.73,36.03,270.3,Q3,269.6
17024,Tlaltizapán de Zapata,Morelos,53781,22.55,14.88,-34.0,46.99,35.33,-24.8,Q1,9.2
17028,Xochitepec,Morelos,78423,36.47,19.13,-47.5,16.21,99.46,513.7,Q2,561.2
17029,Yautepec,Morelos,108567,35.5,28.55,-19.6,14.95,70.0,368.3,Q2,387.9
17030,Yecapixtla,Morelos,60133,12.4,39.91,222.0,23.02,58.2,152.8,Q3,-69.1
18017,Tepic,Nayarit,453486,6.99,0.88,-87.4,51.02,58.22,14.1,Q2,101.5
19006,Apodaca,Nuevo León,747838,6.93,1.34,-80.7,46.09,75.82,64.5,Q2,145.2
19009,Cadereyta Jiménez,Nuevo León,140444,33.99,2.14,-93.7,53.89,41.3,-23.4,Q1,70.4
19010,El Carmen,Nuevo León,139237,13.84,0.72,-94.8,34.61,251.37,626.3,Q2,721.1
19012,Ciénega de Flores,Nuevo León,92740,23.13,7.55,-67.4,123.39,262.02,112.4,Q2,179.7
19018,García,Nuevo León,495731,10.14,7.87,-22.4,11.74,92.59,688.7,Q2,711.1
19021,General Escobedo,Nuevo León,546301,6.61,2.01,-69.5,35.3,66.45,88.3,Q2,157.8
19025,General Zuazua,Nuevo León,135033,10.26,1.48,-85.6,30.77,104.42,239.4,Q2,325.0
19026,Guadalupe,Nuevo León,665553,6.92,4.21,-39.2,32.93,58.0,76.1,Q2,115.3
19031,Juárez,Nuevo León,560836,15.34,3.74,-75.6,27.6,87.55,217.2,Q2,292.8
19039,Monterrey,Nuevo León,1172018,9.94,5.46,-45.0,54.57,190.27,248.7,Q2,293.7
19041,Pesquería,Nuevo León,202281,15.25,5.93,-61.1,74.06,85.52,15.5,Q2,76.6
19045,Salinas Victoria,Nuevo León,114954,25.63,1.74,-93.2,90.33,234.01,159.1,Q2,252.3
19046,San Nicolás de los Garza,Nuevo León,424177,5.64,0.94,-83.3,23.04,82.51,258.1,Q2,341.4
19048,Santa Catarina,Nuevo León,344233,10.55,2.32,-78.0,18.22,43.87,140.7,Q2,218.7
20039,Heroica Ciudad de Huajuapan de León,Oaxaca,79844,8.79,10.02,14.0,15.06,22.54,49.6,Q3,35.6
20043,Juchitán de Zaragoza,Oaxaca,122770,25.64,24.44,-4.7,9.72,81.45,737.6,Q2,742.3
20059,Miahuatlán de Porfirio Díaz,Oaxaca,54787,12.01,38.33,219.0,30.03,14.6,-51.4,Q4,-270.4
